cuisine_type,business_id,name,address,coordinates/latitude,coordinates/longitude,num_reviews,rating,zipcode
American Cuisine,Rc1lxc5lSKJYd162JHNMfQ,Bea,403 W 43rd St,40.7591968,-73.9923361,2390,4,10036
American Cuisine,C-8mGN7lt5rIraO5n-15ug,The Smith,956 2nd Ave,40.755165,-73.967868,2510,4,10022
American Cuisine,scjoZtbTQHi35xhAlUm2iQ,L'ADRESSE,1065 Ave Of The Americas,40.75403,-73.98539,527,4,10018
American Cuisine,DRitJoNGTkHXZvH_YpLIAw,Marc Forgione,134 Reade St,40.71647,-74.0095599,904,4.5,10013
American Cuisine,veq1Bl1DW3UWMekZJUsG1Q,Gramercy Tavern,42 E 20th St,40.738527,-73.988417,2820,4.5,10003
American Cuisine,_gzXNKarTxagBp6_PkmQKw,Gotham Bar and Grill,12 E 12th St,40.734186,-73.993696,1567,4.5,10003
Thai Cuisine,_Ki5XZTB8mL9RDYGj7KP0w,22 Thai Cuisine,59 Nassau St,40.70925,-74.0088,173,2.5,10038
Thai Cuisine,zJ6-ZCrtJA943nsVl2l8gQ,Thai Cuisine,1509 White Plains Rd,40.83811,-73.8638,49,3.5,10462
Thai Cuisine,rhWaFGReGsmyWAojvGWQlQ,PaPa Thai Cuisine,2115 Frederick Douglass Blvd,40.80346,-73.95647,54,3.5,10026
Thai Cuisine,_Ge2eC89Z-jlaDDWglfT8g,Pa Pa Thai Cuisine,1069 1st Ave,40.75937782,-73.96241548,187,4.5,10022
Thai Cuisine,1Fe4lCiMPNVhoEyjg92frA,Kati Thai Cuisine,347 E 14th St,40.73180771,-73.98291016,239,4,10003
Thai Cuisine,lI91u68v2xTdE70lyioKAg,Lotus Thai Cuisine,7007 Park Ave,40.7929206,-74.0031012,241,3.5,7093
Mexican Cuisine,sNr7HL0CE9AJu_SJNfRBZA,Soona' Mexican Cuisine,6900 Park Ave,40.79210222,-74.00355506,9,4,7093
Mexican Cuisine,HLPCElXTqPD6JERdnJM_gQ,Trece Mexican Cuisine & Tequila Bar,54 E 13th St,40.734218,-73.991526,212,3.5,10003
