cuisine_type,business_id,name,address,coordinates/latitude,coordinates/longitude,num_reviews,rating,zipcode
American Cuisine,Rc1lxc5lSKJYd162JHNMfQ,Bea,403 W 43rd St,40.7591968,-73.9923361,2390,4,10036
American Cuisine,C-8mGN7lt5rIraO5n-15ug,The Smith,956 2nd Ave,40.755165,-73.967868,2510,4,10022
American Cuisine,veq1Bl1DW3UWMekZJUsG1Q,Gramercy Tavern,42 E 20th St,40.738527,-73.988417,2819,4.5,10003
American Cuisine,OgM6WwztLVavBQBmb_g5aw,Tara Rose,384 3rd Ave,40.74176,-73.98123,69,4.5,10016
American Cuisine,SLD513aTy53UMk4wQP8Wcg,The Expat,64 Tiemann Pl,40.81551,-73.96008,41,4.5,10027
American Cuisine,scjoZtbTQHi35xhAlUm2iQ,L'ADRESSE,1065 Ave Of The Americas,40.75403,-73.98539,527,4,10018
American Cuisine,z7H9ApIGopnDnQaglnPTzg,Allora Ristorante,145 E 47th St,40.75433,-73.97277,484,4.5,10017
American Cuisine,mHBhUxHgDGjsB1LJl4qW0w,Hillstone Restaurant,888 3rd Ave,40.75824121,-73.96887678,1060,4,10022
American Cuisine,DRitJoNGTkHXZvH_YpLIAw,Marc Forgione,134 Reade St,40.71647,-74.0095599,904,4.5,10013
American Cuisine,b3x1ORxAm9Wr5108EEe6mA,Sister Jane NYC,349 E 13th St,40.73092,-73.98335,51,4.5,10003
American Cuisine,MbwsCB7echBlVwzfJ_9c9g,Old Tbilisi Garden,174 Bleecker St,40.7287707,-74.0008161,404,3.5,10012
American Cuisine,k5NAz3-goMXKoUqPfOZ1Hw,The Smith,55 3rd Ave,40.7310675,-73.9886217,1910,3.5,10003
American Cuisine,ePqKbqXFBCbwBaWiN2Jo9w,Ampersand,294 3rd Ave,40.73861788,-73.98342069,204,4.5,10010
American Cuisine,zv29TbzPs9-rD5ql0qWw5A,The Shadmoor,1066 2nd Ave,40.75866,-73.9655499,268,4.5,10022
American Cuisine,aJqjC4uAo6vhOpsVNCiMDA,Samba Kitchen,661 9th Ave,40.76095,-73.99115,420,4.5,10036
