cuisine_type,business_id,name,address,coordinates/latitude,coordinates/longitude,num_reviews,rating,zipcode
Italy Cuisine,z8TIY5xLeQptbXxZp3LpsA,Felice 56,15 W 56th St,40.762862,-73.975396,6,5,10019
Italy Cuisine,7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,890 2nd Ave,40.753188,-73.969365,176,4.5,10017
Italy Cuisine,MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,186 Grand St,40.7194089547259,-73.9973777877722,840,4.5,10013
Italy Cuisine,OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,136 Mulberry St,40.718554,-73.997447,794,4,10013
Italy Cuisine,DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,254 West 47th St,40.75998,-73.98671,2264,4,10036
Italy Cuisine,vVVmHacu2YAxKfpIjhfd1g,NORMA Gastronomia Siciliana,438 3rd Ave,40.743553,-73.980026,319,4.5,10016
Italy Cuisine,I2lgw_7DUnwD92ND4PN-Ow,Aunt Jake's,149 Mulberry St,40.7190315,-73.9977161,1359,4,10013
Italy Cuisine,z7H9ApIGopnDnQaglnPTzg,Allora Ristorante,145 E 47th St,40.75433,-73.97277,484,4.5,10017
Italy Cuisine,04exhf1PZ79_Km9vHAzvfA,Pepe Rosso Social,173 Mott St,40.72007,-73.99618,811,4,10013
Italy Cuisine,DI_FoHY84hfzTWwlzF76aw,Benito One,174 Mulberry St,40.7200188460948,-73.9969412164592,691,4,10013
Italy Cuisine,a0IET3_yCFcO36OqGSsisg,Eataly NYC Flatiron,200 5th Ave,40.74195877796,-73.989716662832,5385,4,10010
Italy Cuisine,O5S9rhY63YPGiQeUcn7PKA,Cardoncello DiVino,43 W 27th St,40.74519,-73.98985,81,4.5,10001
Italy Cuisine,vjubSxmdG_HoBBgd39geBw,Nino's 46,39 W 46th St,40.7569159,-73.980516,1121,4,10036
Italy Cuisine,xsQTIeq-WLkp4ParkTQpMQ,PizzArte,69 W 55th St,40.7629335072372,-73.9776668697596,1049,4,10019
Italy Cuisine,16ZnHpuaaBt92XWeJHCC5A,Olio e Piú,3 Greenwich Ave,40.733826,-73.999852,1975,4,10014
Italy Cuisine,iEUXrUUqGfUhpgYYSr5Zig,Da Nico Ristorante,164 Mulberry St,40.719685,-73.997062,727,3.5,10013
Italy Cuisine,HPvz-PHt2PYWV_X9eQSlnA,Il Cortile Restaurant,125 Mulberry St,40.718005,-73.998268,501,3.5,10013
